一  yī
吭	kēng
吞	tūn
吾	wú
否	fǒu
尺	chǐ
吧	ba
呆	dāi
呃	è
吴	wú
呈	chéng
吕	lǚ
君	jūn
吩	fēn
告	gào
吹	chuī
吻	wěn
吸	xī
吮	shǔn
吵	chǎo
呐	nà
吠	fèi
吼	hǒu
呀	yā
吱	zī
含	hán
吟	yín
听	tīng
囱	cōng
困	kùn
囤	dùn
囫	hú
坊	fáng
坑	kēng
址	zhǐ
坍	tān
均	jūn
坎	kǎn
圾	jí
坐	zuò
坏	huài
圻	qí
壮	zhuàng
夹	jiá
妆	zhuāng
妒	dù
妨	fáng
妞	niū
妣	bǐ
妙	miào
妖	yāo
妍	yán
妤	yú
妓	jì
妊	rèn
妥	tuǒ
孝	xiào
孜	zī
孚	fú
孛	bèi
完	wán
宋	sòng
宏	hóng
尬	gà
局	jú
屁	pì
尿	niào
尾	wěi
岐	qí
岑	cén
岔	chà
岌	jí
巫	wū
希	xī
序	xù
庇	bì
床	chuáng
廷	tíng
弄	nòng
弟	dì
彤	tóng
形	xíng
彷	páng
役	yì
忘	wàng
忌	jì
志	zhì
忍	rěn
忱	chén
快	kuài
忸	niǔ
忪	sōng
戒	jiè
我	wǒ
抄	chāo
抗	kàng
抖	dǒu
技	jì
扶	fú
抉	jué
扭	niǔ
把	bǎ
扼	è
找	zhǎo
批	pī
扳	bān
抒	shū
扯	chě
折	zhé
扮	bàn
投	tóu
抓	zhuā
抑	yì
抆	wèn
改	gǎi
攻	gōng
攸	yōu
旱	hàn
更	gèng
束	shù
李	lǐ
杏	xìng
材	cái
村	cūn
杜	dù
杖	zhàng
杞	qǐ
杉	shān
杆	gān
杠	gāng
杓	sháo
杗	máng
步	bù
每	měi
求	qiú
汞	gǒng
沙	shā
沁	qìn
沈	shěn
沉	chén
沅	yuán
沛	pèi
汪	wāng
决	jué
沐	mù
汰	tài
沌	dùn
汨	mì
冲	chōng
没	méi
汽	qì
沃	wò
汲	jí
汾	fén
汴	biàn
沆	hàng
汶	wèn
冱	hù
沔	miǎn
比	bǐ
沂	yí
灶	zào
灼	zhuó
灾	zāi
灸	jiǔ
牢	láo
牡	mǔ
它	tā
狄	dí
狂	kuáng
玖	jiǔ
甬	yǒng
甫	fǔ
男	nán
甸	diàn
皂	zào
盯	dīng
矣	yǐ
私	sī
秀	xiù
秃	tū
究	jiù
系	xì
罕	hǎn
肖	xiào
肓	huāng
肝	gān
肘	zhǒu
肛	gāng
肚	dù
育	yù
良	liáng
芒	máng
芋	yù
芍	sháo
见	jiàn
角	jiǎo
言	yán
